Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
0,198,29.879,0
1,199,18.664,29.878999710083
2,200,15.814,48.5429992675781
3,201,16.578,64.3569993972778
4,202,15.026,80.9349985122681
5,203,16.464,95.9609985351563
6,204,16.093,112.424999237061
7,205,29.799,128.517999649048
8,206,17.78,158.316999435425
9,207,16.918,176.09700012207
10,208,19.15,193.014999389648
11,209,21.521,212.164999008179
12,210,14.101,233.685998916626
13,211,16.591,247.786998748779
14,212,15.577,264.377998352051
15,213,20.998,279.954998016357
16,214,15.283,300.952997207642
17,215,30.918,316.235997200012
18,216,17.474,347.15399646759
19,217,19.968,364.627997398376
20,218,15.443,384.595997810364
21,219,16.13,400.038997650146
22,220,29.057,416.168996810913
23,221,19.383,445.225996017456
24,222,15.738,464.608995437622
25,223,16.106,480.346995353699
26,224,15.852,496.452996253967
27,225,15.984,512.304996490479
28,226,29.47,528.288996696472
29,227,14.546,557.758996009827
30,228,20.486,572.304995536804
31,229,19.431,592.790995597839
32,230,16.046,612.221995353699
33,231,19.657,628.267994880676
34,232,21.917,647.924994468689
35,233,14.332,669.841994285584
36,234,16.117,684.173994064331
37,235,15.849,700.290994644165
38,236,16.02,716.139994621277
39,237,21.501,732.159995079041
40,238,14.654,753.660994529724
41,239,16.27,768.314994812012
42,240,24.17,784.584995269775
43,241,19.84,808.754995346069
44,242,27.709,828.594995498657
45,243,17.594,856.303995132446
46,244,14.441,873.897994995117
47,245,24.326,888.338994979858
48,246,23.473,912.664995193481
49,247,21.03,936.137994766235
50,248,23.355,957.167995452881
51,249,23.991,980.522994995117
52,250,23.984,1004.51399421692
53,251,29.324,1028.49799346924
54,252,14.446,1057.82199287415
55,253,17.18,1072.26799297333
56,254,19.025,1089.4479932785
57,255,19.925,1108.47299289703
58,256,21.84,1128.39799213409
59,257,13.921,1150.23799228668
60,258,16.419,1164.15899181366
61,259,15.785,1180.57799243927
62,260,16.272,1196.36299228668
63,261,19.571,1212.63499164581
64,262,21.372,1232.20599079132
65,263,14.699,1253.57799053192
66,264,27.937,1268.2769908905
67,265,16.522,1296.21399116516
