Name, Median Time, Min Time, Max Time, Median Frame Index, Min Frame Index, Max Frame Index, Min Depth, Max Depth, Total Time, Mean Time, Time Lower Quartile, Time Upper Quartile, Count Total, Count Median, Count Min, Count Max, Number of frames containing Marker, First Frame Index, Time Min Individual, Time Max Individual, Min Individual Frame, Max Individual Frame, Time at Median Frame
"EditorLoop",10.78301,6.687058,38.59475,496,212,287,1,1,3885.7787181139,12.9526,9.422098,14.85098,600,2,2,2,300,198,1.2153,32.99808,463,287,11.74201
"PlayerLoop",6.026665,2.652479,13.74557,297,291,401,1,1,1926.80058300495,6.422668,5.771672,6.896615,600,2,2,2,300,198,1.151475,10.31972,227,428,5.706796
"mscorlib.dll!System.Diagnostics::StackTrace.ToString()",4.738819,4.541531,10.8513,390,469,377,8,9,1409.25307875872,5.258407,4.644417,4.936127,1764,6,6,12,268,198,0.732542,2.212379,248,254,4.746596
"FixedUpdate.ScriptRunBehaviourFixedUpdate",2.663534,2.543553,6.017071,248,469,377,2,2,794.248085975647,2.963612,2.61157,2.7795,294,1,1,2,268,198,2.473155,5.24817,288,247,2.670055
"FixedBehaviourUpdate",2.662797,2.542999,6.016062,248,469,377,3,3,794.029643297195,2.962797,2.610783,2.77893,294,1,1,2,268,198,2.472735,5.244651,288,247,2.669265
"UnityEngine.CoreModule.dll!UnityEngine::StackTraceUtility.ExtractStringFromExceptionInternal()",2.507177,2.395943,5.69807,342,467,377,4,4,746.004168510437,2.783598,2.45352,2.61494,294,1,1,2,268,198,2.35089,4.16767,251,254,2.509118
"mscorlib.dll!System::Exception.get_StackTrace()",2.46536,2.353327,5.620302,213,469,377,5,5,733.34366863966,2.736357,2.412863,2.566945,882,3,3,6,268,198,0.752813,2.24011,327,254,2.464879
"mscorlib.dll!System::Exception.GetStackTrace()",2.464609,2.352654,5.618772,213,469,377,6,6,733.126917243004,2.735548,2.412117,2.566103,882,3,3,6,268,198,0.752656,2.239663,327,254,2.46405
"mscorlib.dll!System::Environment.GetStackTrace()",2.461734,2.350215,5.61285,248,469,377,7,7,732.276818394661,2.732376,2.409509,2.563071,882,3,3,6,268,198,0.752039,2.238617,327,254,2.461404
"mscorlib.dll!System.Diagnostics::StackTrace.AddFrames()",2.351402,2.253888,5.385588,449,469,377,10,10,698.892105460167,2.607806,2.302949,2.450256,882,3,3,6,268,198,0.728275,2.202225,312,254,2.352887
"mscorlib.dll!System.Diagnostics::StackTrace.GetFullNameForStackTrace()",2.093916,2.007014,4.785297,358,469,377,11,11,621.493049800396,2.319004,2.052242,2.170812,2646,9,9,18,268,198,0.21417,1.563471,491,254,2.096
"mscorlib.dll!System::RuntimeType.GetMethods()",1.993598,1.915131,4.558115,328,353,377,12,12,590.791887432337,2.204447,1.953223,2.052747,2646,9,9,18,268,198,0.205337,1.550716,327,254,1.991696
"mscorlib.dll!System::RuntimeType.GetMethodCandidates()",1.987788,1.909728,4.545314,249,353,377,13,13,589.085236772895,2.198079,1.947676,2.046864,2646,9,9,18,268,198,0.204898,1.549972,327,254,1.986037
